title	url	imdbRating	ratingCount	duration	year																																							
Dr. Seltsam\	 die Bombe zu lieben (1964)	dr seltsam oder wie ich lernte die bombe zu lieben	http://www.imdb.com/title/tt0057012/	0.143333333	263157																																				1	0		
Gesprengte Ketten (1963)	http://www.imdb.com/title/tt0057115/	8.3	120161	172	1963																																							
Für eine Handvoll Dollar (1964)	http://www.imdb.com/title/tt0058461/	8.1	92532	99	1964																																							
Schlacht um Algier (1966)	http://www.imdb.com/title/tt0058946/	8.2	25876	121	1966																																							
Für ein paar Dollar mehr (1965)	http://www.imdb.com/title/tt0059578/	8.4	104305	132	1965																																							
Zwei glorreiche Halunken (1966)	http://www.imdb.com/title/tt0060196/	9	354997	161	1966																																							
Persona (1966)	http://www.imdb.com/title/tt0060827/	8.2	40639	85	1966																																							
Wer hat Angst vor Virginia Woolf? (1966)	http://www.imdb.com/title/tt0061184/	8.2	41330	131	1966																																							
Der Unbeugsame (1967)	http://www.imdb.com/title/tt0061512/	8.2	90643	126	1967																																							
Die Reifeprüfung (1967)	http://www.imdb.com/title/tt0061722/	8.1	161502	106	1967																																							
2001: Odyssee im Weltraum (1968)	http://www.imdb.com/title/tt0062622/	8.3	295641	160	1968																																							
Butch Cassidy und Sundance Kid (1969)	http://www.imdb.com/title/tt0064115/	8.2	111087	110	1969																																							
Spiel mir das Lied vom Tod (1968)	http://www.imdb.com/title/tt0064116/	8.7	158065	175	1968																																							
Uhrwerk Orange (1971)	http://www.imdb.com/title/tt0066921/	8.4	386962	136	1971																																							
Der Pate (1972)	http://www.imdb.com/title/tt0068646/	9.2	821410	175	1972																																							
Der Clou (1973)	http://www.imdb.com/title/tt0070735/	8.4	127640	129	1973																																							
Chinatown (1974)	http://www.imdb.com/title/tt0071315/	8.3	159935	130	1974																																							
Der Pate 2 (1974)	http://www.imdb.com/title/tt0071562/	9.1	541351	200	1974																																							
Die Ritter der Kokosnuß (1975)	http://www.imdb.com/title/tt0071853/	8.4	284563	91	1975																																							
Barry Lyndon (1975)	http://www.imdb.com/title/tt0072684/	8.1	74677	184	1975																																							
Hundstage (1975)	http://www.imdb.com/title/tt0072890/	8.1	137696	125	1975																																							
Der weiße Hai (1975)	http://www.imdb.com/title/tt0073195/	8.1	290528	124	1975																																							
Einer flog über das Kuckucksnest (1975)	http://www.imdb.com/title/tt0073486/	8.8	492141	133	1975																																							
